Stage-1,100,200,500,1000,2000
sr,0.5293 $\pm$ 0.0107,0.5667 $\pm$ 0.0123,0.593 $\pm$ 0.0118,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0
te,0.458 $\pm$ 0.0157,0.4904 $\pm$ 0.0164,0.533 $\pm$ 0.0148,0.5489 $\pm$ 0.0042,0.5571 $\pm$ 0.0076
